Player,Gls,Ast,xG,xA,Season
Moussa Sissoko,1,1,3.3,2.7,17/18
Toby Alderweireld,0,0,0.4,0.3,17/18
Danny Rose,0,1,0.8,0.8,17/18
Harry Winks,0,1,0.1,0.7,17/18
Victor Wanyama,1,0,0.5,0.1,17/18
Érik Lamela,2,2,3.6,1.6,17/18
Lucas Moura,0,1,0.2,0.2,17/18
Kyle Walker-Peters,0,2,0,1.5,17/18
Fernando Llorente,1,0,0.9,0.5,17/18
Paulo Gazzaniga,0,0,0,0,17/18
Michel Vorm,0,0,0,0,17/18
Vincent Janssen,0,0,0,0,17/18
Georges-Kévin N'Koudou,0,0,0,0,17/18
Hugo Lloris,0,0,0,0,18/19
Toby Alderweireld,0,0,1.2,0.6,18/19
Christian Eriksen,8,12,5.6,7.1,18/19
Harry Kane,17,4,14.2,4.1,18/19
Moussa Sissoko,0,3,1.1,2.5,18/19
Kieran Trippier,1,3,0.6,4.5,18/19
Lucas Moura,10,0,5.5,2,18/19
Son Heung-min,12,6,7.7,3.3,18/19
Davinson Sánchez,1,1,1.5,0,18/19
Jan Vertonghen,1,0,1.8,0.3,18/19
Dele Alli,5,3,5.9,2.7,18/19
Ben Davies,0,0,0.9,2,18/19
Danny Rose,0,3,0.9,2.2,18/19
Eric Dier,3,0,1.7,0.7,18/19
Harry Winks,1,0,0.7,0.2,18/19
Juan Foyth,1,0,0.7,0.3,18/19
Érik Lamela,4,2,3.5,2.6,18/19
Mousa Dembélé,0,0,0,0,18/19
Fernando Llorente,1,4,3,1.3,18/19
Serge Aurier,0,2,0.1,0.6,18/19
Victor Wanyama,1,0,1,0,18/19
Kyle Walker-Peters,0,3,0.4,0.7,18/19
Paulo Gazzaniga,0,0,0,0,18/19
Oliver Skipp,0,0,0.1,0,18/19
Michel Vorm,0,0,0,0,18/19
Vincent Janssen,0,0,0.3,0,18/19
